sample,lat,long
G0177,52.1797666667,1.6586333333
G0178,52.3008166667,1.7322833333
G0179,52.2973166667,1.7256500000
G0180,52.2936666667,1.7190166667
G0181,52.2880500000,1.6956833333
G0182,52.2825833333,1.6945333333
G0183,52.2769666667,1.6934000000
G0184,52.2716333333,1.6922500000
G0185,52.2663000000,1.6911000000
G0186,52.2605500000,1.6904166667
G0187,52.2546500000,1.6895000000
G0188,52.2489000000,1.6876833333
G0189,52.2435666667,1.6860666667
G0190,52.2379500000,1.6851666667
G0191,52.2323333333,1.6842500000
G0192,52.2253000000,1.6833333333
G0193,52.2203833333,1.6821833333
G0194,52.2146333333,1.6812666667
G0195,52.2092833333,1.6801333333
G0196,52.2033833333,1.6789833333
G0197,52.1928500000,1.6757833333
G0198,52.1875000000,1.6744166667
G0199,52.1810333333,1.6732666667
G0200,52.2858166667,1.7094000000
G0201,52.2796333333,1.7078000000
G0202,52.2737500000,1.7071166667
G0203,52.2691166667,1.7059666667
G0204,52.2588666667,1.7041500000
G0205,52.2531166667,1.7027666667
G0206,52.2476333333,1.7016333333
G0207,52.2420166667,1.7002500000
G0208,52.2364000000,1.6993333333
G0209,52.2306500000,1.6988833333
G0210,52.2208166667,1.6966000000
G0211,52.2143500000,1.6943166667
G0212,52.2074666667,1.6927000000
G0213,52.2004333333,1.6913333333
G0214,52.1918666667,1.6890500000
G0215,52.1859500000,1.6881333333
G0216,52.1803333333,1.6863000000
G0217,52.2846833333,1.7229000000
G0218,52.2785166667,1.7217500000
G0219,52.2727666667,1.7203833333
G0220,52.2671500000,1.7192333333
G0221,52.2588666667,1.7174166667
G0222,52.2528333333,1.7162666667
G0223,52.2469333333,1.7151166667
G0224,52.2416000000,1.7142166667
G0225,52.2352833333,1.7130666667
G0226,52.2289500000,1.7119166667
G0227,52.2178666667,1.7096333333
G0228,52.2116833333,1.7087166667
G0229,52.2062000000,1.7066666667
G0230,52.2008500000,1.7055166667
G0231,52.1883500000,1.7009500000
G0232,52.2835666667,1.7375333333
G0233,52.2772500000,1.7364000000
G0234,52.2720500000,1.7352500000
G0235,52.2670000000,1.7336500000
G0236,52.2580166667,1.7309000000
G0237,52.2517000000,1.7290833333
G0237 take 2,52.2517000000,1.7290833333
G0238,52.2458166667,1.7281666667
G0239,52.2397666667,1.7272500000
G0240,52.2341500000,1.7256500000
G0241,52.2285333333,1.7249666667
G0242,52.2166000000,1.7226666667
G0243,52.2105500000,1.7213000000
G0244,52.2045166667,1.7174166667
G0245,52.1862333333,1.7158166667
G0246,52.1803333333,1.7146666667
G0247,52.2802000000,1.7485166667
G0248,52.2743000000,1.7482833333
G0249,52.2685500000,1.7478333333
G0250,52.2560500000,1.7469166667
G0251,52.2500166667,1.7455500000
G0252,52.2452500000,1.7448666667
G0253,52.2390666667,1.7421166667
G0254,52.2330333333,1.7414333333
G0255,52.2269833333,1.7398333333
G0256,52.2073166667,1.7377666667
G0257,52.2025500000,1.7350166667
G0258,52.1976166667,1.7316000000
G0259,52.1859500000,1.7281666667
G0260,52.1792000000,1.7274833333
G0261,52.2487666667,1.7572166667
G0262,52.2432833333,1.7565166667
G0263,52.2385000000,1.7537833333
G0264,52.2234833333,1.7558333333
G0265,52.2128000000,1.7501166667
G0266,52.2066166667,1.7487500000
G0267,52.2010000000,1.7471500000
G0268,52.1955166667,1.7455500000
G0269,52.1858166667,1.7428000000
G0270,52.1787833333,1.7414333333
G0271,52.2112500000,1.7599500000
G0272,52.2048000000,1.7595000000
G0273,52.1976166667,1.7585833333
G0274,52.1852500000,1.7572166667
G0275,52.1785000000,1.7556166667
G0276,52.2964666667,1.7425666667
G0277,52.2928166667,1.7359333333
G0278,52.3097833333,1.6728000000
G0279,52.3064166667,1.6638833333
G0280,52.3023500000,1.6579333333
G0281,52.2980166667,1.6524500000
G0282,52.2929666667,1.6467333333
G0283,52.2883333333,1.6421500000
G0284,52.2835666667,1.6394166667
G0285,52.2779500000,1.6364333333
G0286,52.2727666667,1.6346166667
G0287,52.2667166667,1.6332333333
G0288,52.2604166667,1.6330000000
G0289,52.2546500000,1.6332333333
G0290,52.2490333333,1.6337000000
G0291,52.2430000000,1.6325500000
G0292,52.2312000000,1.6330000000
G0293,52.2257333333,1.6321000000
G0294,52.2202500000,1.6314000000
G0295,52.2146333333,1.6307166667
G0296,52.2029666667,1.6291166667
G0297,52.1970666667,1.6295833333
G0298,52.1922833333,1.6295833333
G0299,52.1865166667,1.6293500000
G0300,52.1818833333,1.6266000000
G0301,52.2883333333,1.6483333333
G0302,52.2832833333,1.6465000000
G0303,52.2772500000,1.6444500000
G0303 with calgon,52.2772500000,1.6444500000
G0304,52.2717833333,1.6426166667
G0305,52.2649000000,1.6417000000
G0306,52.2602666667,1.6407833333
G0307,52.2553500000,1.6401000000
G0308,52.2494666667,1.6396333333
G0309,52.2428666667,1.6391833333
G0310,52.2371000000,1.6387333333
G0311,52.2319000000,1.6375833333
G0312,52.2265666667,1.6366666667
G0313,52.3107666667,1.6959166667
G0314,52.3067000000,1.6899666667
G0315,52.3030666667,1.6828666667
G0316,52.2997000000,1.6757833333
G0317,52.2961833333,1.6696000000
G0318,52.2898833333,1.6622833333
G0319,52.2849666667,1.6604500000
G0319 CALGON,52.2849666667,1.6604500000
G0320,52.2792166667,1.6595333333
G0321,52.2738833333,1.6577166667
G0322,52.2681333333,1.6554166667
G0323,52.2621000000,1.6549666667
G0324,52.2570500000,1.6540500000
G0325,52.2512833333,1.6526833333
G0326,52.2458166667,1.6520000000
G0327,52.2402000000,1.6510833333
G0328,52.2344333333,1.6481000000
G0329,52.2291000000,1.6476500000
G0330,52.2230500000,1.6455833333
G0331,52.2182833333,1.6451333333
G0332,52.2115333333,1.6437666667
G0333,52.2062000000,1.6433000000
G0334,52.2007166667,1.6421500000
G0335,52.1951000000,1.6414666667
G0336,52.1887666667,1.6405500000
G0337,52.1832833333,1.6387333333
G0338,52.1775166667,1.6373500000
G0339,52.2894500000,1.6753166667
G0340,52.2848166667,1.6741833333
G0341,52.2789333333,1.6735000000
G0342,52.2731833333,1.6730333333
G0343,52.2671500000,1.6728000000
G0344,52.2619500000,1.6723500000
G0345,52.2560500000,1.6700666667
G0346,52.2507166667,1.6673166667
G0347,52.2459500000,1.6654833333
G0348,52.2399166667,1.6645666667
G0349,52.2341500000,1.6643500000
G0350,52.2277000000,1.6629666667
G0351,52.2219333333,1.6609166667
G0352,52.2170166667,1.6590833333
G0353,52.2121000000,1.6572500000
G0354,52.2064833333,1.6568000000
G0355,52.1998666667,1.6554166667
G0356,52.1952333333,1.6540500000
G0357,52.1879166667,1.6540500000
G0358,52.1830000000,1.6529000000
G0359,52.1790666667,1.6517666667
G0360,52.2272666667,1.6282000000
G0361,52.2232000000,1.6277500000
G0362,52.2196833333,1.6272833333
G0363,52.2158166667,1.6264833333
G0364,52.2121000000,1.6262666667
G0365,52.2078833333,1.6260333333
G0366,52.2047166667,1.6256833333
G0367,52.2012833333,1.6254666667
G0368,52.1976166667,1.6258000000
G0369,52.1943166667,1.6258000000
G0370,52.2272666667,1.6330000000
G0371,52.2231333333,1.6331166667
G0372,52.2194000000,1.6327833333
G0373,52.2158166667,1.6322000000
G0374,52.2121000000,1.6319833333
G0375,52.2078166667,1.6318666667
G0376,52.2047166667,1.6318666667
G0377,52.2011333333,1.6316333333
G0378,52.1974833333,1.6315166667
G0379,52.1941166667,1.6313000000
G0380,52.2271333333,1.6380333333
G0381,52.2230500000,1.6378166667
G0382,52.2194000000,1.6378166667
G0383,52.2157500000,1.6375833333
G0384,52.2121000000,1.6375833333
G0385,52.2078833333,1.6375833333
G0386,52.2049333333,1.6375833333
G0387,52.2011333333,1.6373500000
G0388,52.1974833333,1.6371333333
G0389,52.1939666667,1.6366666667
G0390,52.2272666667,1.6428500000
G0391,52.2230500000,1.6428500000
G0392,52.2195500000,1.6430666667
G0393,52.2161833333,1.6433000000
G0394,52.2121000000,1.6433000000
G0395,52.2081666667,1.6428500000
G0396,52.2052166667,1.6426166667
G0397,52.2014166667,1.6423833333
G0398,52.1974833333,1.6421500000
G0399,52.1939666667,1.6421500000
G0400,52.2272666667,1.6481000000
G0401,52.2230500000,1.6481000000
G0402,52.2195500000,1.6481000000
G0403,52.2161833333,1.6481000000
G0404,52.2121000000,1.6481000000
G0405,52.2081666667,1.6483333333
G0406,52.2049333333,1.6478833333
G0407,52.2014166667,1.6478833333
G0408,52.1974833333,1.6476500000
G0409,52.1938333333,1.6476500000
G0410,52.2272666667,1.6526833333
G0411,52.2232000000,1.6529000000
G0412,52.2196833333,1.6531333333
G0413,52.2163166667,1.6531333333
G0414,52.2123833333,1.6533666667
G0415,52.2083000000,1.6533666667
G0416,52.2049333333,1.6533666667
G0417,52.2012833333,1.6529000000
G0418,52.1974833333,1.6531333333
G0419,52.1938333333,1.6531333333
G0420,52.2272666667,1.6572500000
G0421,52.2232000000,1.6579333333
G0422,52.2198333333,1.6579333333
G0423,52.2163166667,1.6581666667
G0424,52.2122333333,1.6577166667
