BEEMS SZ BAY 20080326_0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058001,0.178746,0.398006,0.608735,0.865511,1.136565,1.419377,1.696844,1.966426,2.206918,2.415387,2.577961,2.689129,2.744826,2.745989,2.695733,2.603322,2.477053,2.334605,2.189188,2.057421,1.955239,1.895684,1.891426,1.950969,2.076701,2.270488,2.522107,2.81689,3.135388,3.442569,3.714307,3.907989,4.002397,3.97297,3.813086,3.529308,3.147217,2.691579,2.218002,1.7499,1.336017,0.986369,0.715201,0.517355,0.381586,0.295773,0.241236,0.206341,0.177305,0.148504,0.118173,0.070284,0.035896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEEMS SZ BAY 20080326_0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14786,0.352571,0.592264,0.872554,1.169133,1.472515,1.775071,2.057551,2.319825,2.542033,2.72275,2.850916,2.924249,2.942844,2.912531,2.838918,2.734223,2.606972,2.473774,2.344957,2.232796,2.147507,2.095584,2.082858,2.110969,2.177997,2.280992,2.411117,2.558676,2.713194,2.85883,2.987211,3.082381,3.138584,3.146672,3.103082,3.005735,2.856895,2.655191,2.410917,2.117857,1.791797,1.428627,1.032277,0.66874,0.250003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEEMS SZ BAY 20080326_0070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006711,0.100167,0.255091,0.518545,0.762748,1.053702,1.352263,1.655655,1.946463,2.222847,2.46421,2.668598,2.823283,2.924392,2.969849,2.9625,2.906199,2.810416,2.682082,2.536149,2.381797,2.230714,2.093651,1.97691,1.890237,1.83577,1.819202,1.841768,1.904411,2.006094,2.14556,2.314591,2.510276,2.712506,2.911494,3.080911,3.20043,3.247533,3.207112,3.069205,2.842604,2.534371,2.178102,1.793521,1.415753,1.069013,0.769464,0.532815,0.35138,0.230339,0.138551,0.086572,0.04664,0.00883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEEMS SZ BAY 20080326_0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106717,0.274236,0.361346,0.486596,0.605803,0.724786,0.841284,0.955622,1.062322,1.162739,1.252881,1.331726,1.398046,1.449909,1.487974,1.510576,1.518737,1.512575,1.492924,1.460674,1.417384,1.363461,1.301849,1.231432,1.15575,1.073699,0.98797,0.900769,0.815968,0.742543,0.690115,0.675955,0.71791,0.835987,1.050771,1.377049,1.815471,2.369272,2.996594,3.677846,4.334108,4.917695,5.350969,5.582689,5.578931,5.33662,4.869425,4.248057,3.518979,2.769886,2.056626,1.433522,0.924182,0.541127,0.301466,0.04045,0.0,0.0,0.0,0.0,0.0,0.0
BEEMS SZ BAY 20080326_071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076989,0.160484,0.297269,0.407489,0.534,0.655992,0.773779,0.881903,0.980343,1.063001,1.13035,1.179152,1.209328,1.2216,1.218448,1.202231,1.176723,1.144766,1.1105,1.075639,1.04139,1.007543,0.97141,0.931252,0.883057,0.827532,0.765262,0.704656,0.658789,0.64718,0.69445,0.83181,1.079324,1.463848,1.983059,2.630543,3.371209,4.144913,4.898332,5.531697,5.995379,6.218891,6.182487,5.887699,5.374548,4.69472,3.933972,3.135686,2.393871,1.701868,1.1181,0.681253,0.114283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEEMS SZ BAY 20080327_0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073159,0.191534,0.402992,0.601321,0.841018,1.091979,1.352991,1.609638,1.860978,2.088742,2.291582,2.457394,2.581523,2.660277,2.693022,2.682147,2.63284,2.551304,2.449508,2.336751,2.224639,2.124686,2.045491,1.997214,1.9843,2.010839,2.07768,2.181504,2.316484,2.475381,2.643572,2.813075,2.963776,3.087706,3.168969,3.199876,3.17403,3.090879,2.950173,2.762469,2.528827,2.266019,1.977064,1.676555,1.376178,1.086263,0.82539,0.595493,0.408675,0.264361,0.15643,0.0736,0.021702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEEMS SZ BAY 20080327_0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062821,0.144134,0.275942,0.379618,0.498392,0.612368,0.722961,0.826179,0.922977,1.008064,1.082235,1.142146,1.187079,1.216259,1.229007,1.225202,1.204992,1.168073,1.116238,1.050551,0.974401,0.893604,0.814925,0.75203,0.717669,0.730548,0.810104,0.974784,1.238498,1.61251,2.086089,2.659964,3.28313,3.936779,4.553952,5.091168,5.497774,5.736815,5.790263,5.657177,5.348898,4.903327,4.346607,3.725819,3.080609,2.442915,1.859871,1.339783,0.914642,0.585425,0.344178,0.169751,0.050754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEEMS SZ BAY 20080327_0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006475,0.206122,0.401925,0.583257,0.788845,0.981876,1.164813,1.333725,1.479875,1.605919,1.704129,1.775602,1.817076,1.829438,1.814776,1.777898,1.721673,1.652786,1.573954,1.492306,1.410931,1.334451,1.267124,1.211637,1.173348,1.155108,1.161755,1.197044,1.263473,1.361403,1.489716,1.639665,1.805931,1.968481,2.117022,2.230581,2.296886,2.30705,2.262229,2.171132,2.057771,1.946431,1.870461,1.854104,1.915971,2.057798,2.269286,2.518092,2.771728,2.974471,3.092407,3.090041,2.953222,2.686323,2.316321,1.871271,1.411432,0.952425,0.58831,0.264698,0.0,0.0,0.0,0.0
BEEMS SZ BAY 20080327_0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008925,0.126444,0.222612,0.363981,0.475301,0.598105,0.712225,0.81894,0.914589,1.000165,1.071158,1.128374,1.16935,1.194182,1.203293,1.19802,1.179388,1.14962,1.109378,1.061285,1.006034,0.945343,0.881492,0.815925,0.75454,0.701018,0.665006,0.655108,0.682989,0.75882,0.89287,1.087151,1.348065,1.657326,2.009774,2.373166,2.723797,3.030317,3.264951,3.412391,3.461928,3.422086,3.312195,3.157872,2.9934,2.848151,2.743114,2.69078,2.686795,2.714939,2.751736,2.769237,2.741962,2.65181,2.493611,2.266238,1.99112,1.679072,1.363013,1.055728,0.778186,0.544742,0.331283,0.179584
BEEMS SZ BAY 20080327_0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007356,0.106141,0.218481,0.390906,0.530449,0.6892,0.840693,0.98454,1.113482,1.226826,1.316975,1.383983,1.42404,1.437211,1.424908,1.39202,1.342183,1.283145,1.21991,1.16112,1.1112,1.074078,1.050693,1.038222,1.031179,1.021143,0.999312,0.956352,0.887704,0.795104,0.687611,0.587439,0.523247,0.535087,0.663344,0.942933,1.400804,2.039959,2.829044,3.733745,4.644761,5.494225,6.15072,6.542575,6.597757,6.306548,5.69386,4.848929,3.846281,2.842423,1.892454,1.10921,0.549648,0.078838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEEMS SZ BAY 20080327_0040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005081,0.160992,0.311082,0.449678,0.607609,0.75516,0.894528,1.022902,1.133971,1.230217,1.3062,1.363078,1.398634,1.41378,1.410206,1.391063,1.358283,1.315762,1.264758,1.209092,1.150005,1.090005,1.032051,0.978633,0.936227,0.910198,0.909877,0.944805,1.024752,1.157098,1.347711,1.590609,1.884513,2.200251,2.523605,2.814922,3.046,3.187069,3.220118,3.139252,2.96029,2.705702,2.423331,2.151483,1.9384,1.814941,1.797556,1.883049,2.052586,2.261041,2.470608,2.632016,2.710998,2.68518,2.552133,2.318276,2.015923,1.667107,1.316386,0.983696,0.694867,0.463791,0.269886,0.140975
